HERD,player,-1,slimes,ant,robot,fly,boss_dragon,crawler,helpless,eel,fire,fungus,ghoul,giant,ice,spider,orcs,rat,electricity,wolf,worm,zombie,nest,mage,flower,ghost,boss_limbs,healer,apparition,bat,mage_swapper,curse,trap,ghost_boss,target
      player,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
-1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0
      slimes,0,0,100,80,95,90,0,0,0,90,90,90,90,90,90,95,95,30,90,90,90,90,100,90,90,90,0,100,50,100,90,100,100,100,0
         ant,0,0,80,100,40,90,0,0,0,0,0,100,0,0,0,95,40,50,0,0,0,90,100,90,90,90,0,100,50,100,90,100,100,100,0
       robot,0,0,95,90,100,80,0,90,0,90,95,95,90,90,0,95,95,0,90,0,90,95,100,95,90,90,0,100,50,100,95,100,100,100,0
         fly,0,0,90,90,90,100,0,0,0,0,90,90,90,0,0,90,90,60,90,0,0,90,100,80,90,90,0,100,50,100,80,100,100,100,0
 boss_dragon,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
     crawler,0,0,0,0,90,0,0,100,0,0,0,0,0,0,0,90,0,0,0,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
    helpless,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,90,0,0,0,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
         eel,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,90,0,0,0,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
        fire,0,0,90,80,90,100,0,0,0,0,100,90,90,0,20,90,96,0,0,0,0,90,100,95,90,90,0,100,50,100,95,100,100,100,0
      fungus,0,0,75,80,70,90,0,0,0,0,80,100,0,0,80,95,95,95,80,0,0,70,100,90,90,90,0,100,50,100,90,100,100,100,0
       ghoul,0,0,0,0,90,50,0,0,0,0,0,0,100,0,0,90,0,0,0,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
       giant,0,0,0,0,90,50,0,0,0,0,0,0,0,100,100,90,0,0,0,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
         ice,0,0,0,0,0,0,0,0,0,0,20,80,0,100,100,90,50,0,0,0,0,90,100,99,90,90,0,100,50,100,99,100,100,100,0
      spider,0,0,95,95,95,90,0,95,95,0,95,95,0,95,0,100,95,95,95,95,90,95,100,95,90,90,0,100,50,100,95,100,100,100,0
        orcs,2,0,80,80,95,90,0,30,40,100,90,90,0,90,40,95,100,0,0,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
         rat,0,0,50,50,50,0,0,0,0,0,0,90,0,0,0,95,50,100,0,0,0,50,100,90,90,90,0,100,50,0,90,100,100,100,0
 electricity,0,0,0,80,90,90,0,0,0,0,0,80,0,0,0,90,0,0,100,0,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
        wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,100,0,0,100,90,90,90,0,100,50,100,90,100,100,100,0
        worm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,100,0,100,90,90,90,0,100,50,100,90,100,100,100,0
      zombie,0,0,90,80,90,90,0,0,10,100,90,90,0,0,90,95,95,70,0,0,0,100,100,90,90,90,0,100,50,100,90,100,100,100,0
nest,0,0,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,50,100,100,100,100,100,0
mage,0,0,90,80,90,90,0,0,0,0,90,90,90,0,95,95,90,0,0,0,0,90,100,100,90,90,0,100,50,100,100,100,100,100,0
flower,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,90,100,90,0,100,50,100,90,100,100,100,0
ghost,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,90,90,100,0,100,50,100,90,100,100,100,0
boss_limbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,100,100,50,100,0,100,100,100,0
healer,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,0
apparition,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,100,100,100,0
bat,0,0,100,80,95,90,0,0,0,90,90,90,90,90,90,95,95,30,90,90,90,90,100,90,90,90,0,100,50,100,90,100,100,100,0
mage_swapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0
curse,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
trap,0,0,80,80,50,100,100,100,0,0,100,50,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
ghost_boss,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
target,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
